65169,fe91,D,Patch 65169,SAID Patch ,Interop ,System Assigned ID Patch ,2
65170,fe92,D,Patch 65170,SAID Patch ,Interop ,System Assigned ID Patch ,2
65171,fe93,D,Patch 65171,SAID Patch ,Interop ,System Assigned ID Patch ,2
65172,fe94,D,Patch 65172,SAID Patch ,Interop ,System Assigned ID Patch ,2
65173,fe95,D,Patch 65173,SAID Patch ,Interop ,System Assigned ID Patch ,2
65174,fe96,D,Patch 65174,SAID Patch ,Interop ,System Assigned ID Patch ,2
65175,fe97,D,Patch 65175,SAID Patch ,Interop ,System Assigned ID Patch ,2
65176,fe98,D,Patch 65176,SAID Patch ,Interop ,System Assigned ID Patch ,2
65177,fe99,D,Patch 65177,SAID Patch ,Interop ,System Assigned ID Patch ,2
65178,fe9a,D,Patch 65178,SAID Patch ,Interop ,System Assigned ID Patch ,2
65179,fe9b,D,Patch 65179,SAID Patch ,Interop ,System Assigned ID Patch ,2
65180,fe9c,D,Patch 65180,SAID Patch ,Interop ,System Assigned ID Patch ,2
65181,fe9d,D,Patch 65181,SAID Patch ,Interop ,System Assigned ID Patch ,2
65182,fe9e,D,Patch 65182,SAID Patch ,Interop ,System Assigned ID Patch ,2
65183,fe9f,D,Patch 65183,SAID Patch ,Interop ,System Assigned ID Patch ,2
65184,fea0,D,Patch 65184,SAID Patch ,Interop ,System Assigned ID Patch ,2
65185,fea1,D,Patch 65185,SAID Patch ,Interop ,System Assigned ID Patch ,2
65186,fea2,D,Patch 65186,SAID Patch ,Interop ,System Assigned ID Patch ,2
65187,fea3,D,Patch 65187,SAID Patch ,Interop ,System Assigned ID Patch ,2
65188,fea4,D,Patch 65188,SAID Patch ,Interop ,System Assigned ID Patch ,2
65189,fea5,D,Patch 65189,SAID Patch ,Interop ,System Assigned ID Patch ,2
65190,fea6,D,Patch 65190,SAID Patch ,Interop ,System Assigned ID Patch ,2
65191,fea7,D,Patch 65191,SAID Patch ,Interop ,System Assigned ID Patch ,2
65192,fea8,D,Patch 65192,SAID Patch ,Interop ,System Assigned ID Patch ,2
65193,fea9,D,Patch 65193,SAID Patch ,Interop ,System Assigned ID Patch ,2
65194,feaa,D,Patch 65194,SAID Patch ,Interop ,System Assigned ID Patch ,2
65195,feab,D,Patch 65195,SAID Patch ,Interop ,System Assigned ID Patch ,2
65196,feac,D,Patch 65196,SAID Patch ,Interop ,System Assigned ID Patch ,2
65197,fead,D,Patch 65197,SAID Patch ,Interop ,System Assigned ID Patch ,2
65198,feae,D,Patch 65198,SAID Patch ,Interop ,System Assigned ID Patch ,2
65199,feaf,D,Patch 65199,SAID Patch ,Interop ,System Assigned ID Patch ,2
65200,Feb-00,D,Patch 65200,SAID Patch ,Interop ,System Assigned ID Patch ,2
