11984,2ed,A,CMS-EVAC-1,School Evacuations 1,Other,Charlotte-Mecklenburg Schools,2
12016,2ef,A,CMS-EVAC-2,School Evacuations 2,Security,Charlotte-Mecklenburg Schools,2
12144,2f7,A,MEC OPS 7,Mecklenburg Operations 7,Multi-Tac,Mecklenburg EMS/Fire,2
12176,2f9,A,MEC OPS 8,Mecklenburg Operations 8,Multi-Tac,Mecklenburg EMS/Fire,2
12208,2fb,A,MEC OPS 9,Mecklenburg Operations 9,Multi-Tac,Mecklenburg EMS/Fire,2
12240,2fd,A,MEC OPS 10,Mecklenburg Operations 10,Multi-Tac,Mecklenburg EMS/Fire,2
12272,2ff,A,MEC OPS 11,Mecklenburg Operations 11,Multi-Tac,Mecklenburg EMS/Fire,2
12304,301,A,MEDIC-NET 1,Mecklenburg EMS Non-Emergency Transport,Multi-Tac,Mecklenburg EMS/Fire,2
12336,303,A,MEDIC-CONF,Mecklenburg EMS Conference,EMS-Tac,Mecklenburg EMS/Fire,2
14832,39f,A,CMS-SRO-1,School Resource Officers,Security,Charlotte-Mecklenburg Schools,2
14864,3a1,A,CMS-SRO-2,School Resource Officers,Security,Charlotte-Mecklenburg Schools,2
15024,3ab,A,CNF 2,Police Conference 2,Law Tac,Cornelius,2
15056,3ad,A,INV,Police Investigations,Law Tac,Cornelius,2
15088,3af,A,TAC 2,Police Tactical 2,Law Tac,Cornelius,2
15152,3b3,A,CNF 1,Huntersville Conference 1 (aka CH 3),Law Tac,Huntersville,2
15184,3b5,A,CNF 2,Huntersville Conference 2,Law Tac,Huntersville,2
15216,3b7,A,INV,Police Investigations,Law Tac,Huntersville,2
15248,3b9,A,TAC 1,Police Tactical 1,Law Tac,Huntersville,2
15280,3bb,A,TAC 2,Police Tactical 2,Law Tac,Huntersville,2
15376,3c1,A,Davidson 1,Davidson College Tac 1,Law Tac,North Mecklenburg,2
15728,3d7,A,CFD-1-I,Operations 1-I,Fire-Tac,Charlotte Fire,2
15760,3d9,A,CFD-1-J,Operations 1-J,Fire-Tac,Charlotte Fire,2
15792,3db,A,CFD-1-K,Operations 1-K,Fire-Tac,Charlotte Fire,2
15856,3df,A,CFD-1-CONF,Conference 1,Fire-Tac,Charlotte Fire,2
15888,3.00E+01,A,APC-MC,Mecklenburg Sheriff Arrest Processing Center Main Channel,Corrections,Mecklenburg Sheriff,2
15920,3.00E+03,A,APC-2,Mecklenburg Sheriff Arrest Processing Center 2,Corrections,Mecklenburg Sheriff,2
15952,3.00E+05,A,APC-3,Mecklenburg Sheriff Arrest Processing Center 3,Corrections,Mecklenburg Sheriff,2
15984,3.00E+07,A,COURTS,Mecklenburg Sheriff Court 1,Law Tac,Mecklenburg Sheriff,2
16016,3.00E+09,A,COURTS2,Mecklenburg Sheriff Court 2,Law Tac,Mecklenburg Sheriff,2
16048,3eb,A,COURTS3,Mecklenburg Sheriff Court 3,Law Tac,Mecklenburg Sheriff,2
16080,3ed,A,COURTS4,Mecklenburg Sheriff Court 4,Law Tac,Mecklenburg Sheriff,2
16112,3ef,A,COURTS5,Mecklenburg Sheriff Court 5,Law Tac,Mecklenburg Sheriff,2
16144,3f1,A,K-9-1,Mecklenburg Sheriff K9 1,Law Tac,Mecklenburg Sheriff,2
16176,3f3,A,K-9-2,Mecklenburg Sheriff K9 2,Law Tac,Mecklenburg Sheriff,2
16208,3f5,A,K-9-TRNG,Mecklenburg Sheriff K9 Training,Law Tac,Mecklenburg Sheriff,2
16240,3f7,A,CNU-1,Mecklenburg Sheriff CNU 1,Law Tac,Mecklenburg Sheriff,2
16272,3f9,A,CNU-2,Mecklenburg Sheriff CNU 2,Law Tac,Mecklenburg Sheriff,2
16304,3fb,A,CNU-TRNG,Mecklenburg Sheriff CNU Training,Law Tac,Mecklenburg Sheriff,2
16336,3fd,A,MOTOR-1,Mecklenburg Sheriff Motorcycle 1,Law Tac,Mecklenburg Sheriff,2
16368,3ff,A,MOTOR-2,Mecklenburg Sheriff Motorcycle 2,Law Tac,Mecklenburg Sheriff,2
16432,403,A,CFD ALARM,Alarm (Dispatch),Fire Dispatch,Charlotte Fire,2
16464,405,A,CFD 1B,Operations 1-B,Fire-Tac,Charlotte Fire,2
16496,407,A,CFD 1C,Operations 1-C,Fire-Tac,Charlotte Fire,2
16528,409,A,CFD 1D,Operations 1-D,Fire-Tac,Charlotte Fire,2
16560,40b,A,CFD 1E,Operations 1-E,Fire-Tac,Charlotte Fire,2
16592,40d,A,CFD 1F,Operations 1-F,Fire-Tac,Charlotte Fire,2
16624,40f,A,CFD 1G,Operations 1-G,Fire-Tac,Charlotte Fire,2
16656,411,A,CFD 1H,Operations 1-H,Fire-Tac,Charlotte Fire,2
18384,47d,A,REG EMS,Regional EMS,EMS-Tac,Systemwide,2
18416,47f,A,REG OPS 4,Regional Operations 4,Multi-Tac,Systemwide,2
18448,481,A,REG FIRE 1,Regional Fire 1,Fire-Tac,Systemwide,2
18480,483,A,REG FIRE 2,Regional Fire 2,Fire-Tac,Systemwide,2
18512,485,A,REG FIRE 3,Regional Fire 3,Fire-Tac,Systemwide,2
18544,487,A,REG LAW 1,Regional Law 1,Law Tac,Systemwide,2
18576,489,A,REG LAW 2,Regional Law 2,Law Tac,Systemwide,2
18608,48b,A,MOTOR-TRG,Mecklenburg Sheriff Motorcycle Training,Law Tac,Mecklenburg Sheriff,2
18640,48d,A,ESCORT-1,Mecklenburg Sheriff Escort 1,Law Tac,Mecklenburg Sheriff,2
18672,48f,A,ESCORT-2,Mecklenburg Sheriff Escort 2,Law Tac,Mecklenburg Sheriff,2
18704,491,A,ESCORT-3,Mecklenburg Sheriff Escort 3,Law Tac,Mecklenburg Sheriff,2
18736,493,A,ESCORT-4,Mecklenburg Sheriff Escort 4,Law Tac,Mecklenburg Sheriff,2
18768,495,A,ESCORT-5,Mecklenburg Sheriff Escort 5,Law Tac,Mecklenburg Sheriff,2
18800,497,A,ESCORT-6,Mecklenburg Sheriff Escort 6,Law Tac,Mecklenburg Sheriff,2
18832,499,A,ESCORT-7,Mecklenburg Sheriff Escort 7,Law Tac,Mecklenburg Sheriff,2
18864,49b,A,ESCORT-8,Mecklenburg Sheriff Escort 8,Law Tac,Mecklenburg Sheriff,2
18896,49d,A,ESCORT-9,Mecklenburg Sheriff Escort 9,Law Tac,Mecklenburg Sheriff,2
18928,49f,A,ESCORT-10,Mecklenburg Sheriff Escort 10,Law Tac,Mecklenburg Sheriff,2
19024,4a5,A,MCSO-OPC,Mecklenburg Sheriff OPC,Law Tac,Mecklenburg Sheriff,2
19056,4a7,A,MCSO-TACT,Mecklenburg Sheriff Tactical,Law Tac,Mecklenburg Sheriff,2
19088,4a9,A,TRNG-1,Mecklenburg Sheriff Training 1,Law Tac,Mecklenburg Sheriff,2
19120,4ab,A,TRNG-2,Mecklenburg Sheriff Training 2,Law Tac,Mecklenburg Sheriff,2
19152,4ad,A,TRNG-3,Mecklenburg Sheriff Training 3,Law Tac,Mecklenburg Sheriff,2
19184,4af,A,TRNG-4,Mecklenburg Sheriff Training 4,Law Tac,Mecklenburg Sheriff,2
19216,4b1,A,MCJN-MC,Mecklenburg Sheriff Jail North Main Channel,Corrections,Mecklenburg Sheriff,2
